N,P,K,temperature,humidity,ph,rainfall,label
83.06,46.89,43.32,27.66,75.92,6.72,177.4,rice
101.33,52.91,36.65,34.05,94.17,6.39,186.72,rice
84.01,44.57,38.92,28.37,91.65,5.93,297.59,rice
98.94,42.42,39.48,28.06,85.96,6.38,216.48,rice
111.96,52.49,41.43,33.36,87.75,6.5,297.52,rice
89.79,39.48,39.91,30.26,94.57,6.73,192.74,rice
118.24,35.86,38.97,34.4,79.27,5.64,209.33,rice
90.35,36.77,41.09,20.63,77.44,5.93,153.12,rice
101.91,42.71,35.53,32.61,88.13,6.55,289.46,rice
90.31,39.95,37.84,34.11,75.11,6.87,255.1,rice
113.62,48.98,37.7,27.19,90.37,5.55,245.62,rice
91.71,52.25,38.36,29.14,80.23,6.43,240.67,rice
107.8,38.44,36.2,22.87,86.57,5.96,205.26,rice
85.8,41.77,35.12,31.45,85.91,6.65,161.04,rice
96.95,40.79,40.24,26.7,79.51,6.03,201.04,rice
111.89,38.51,42.17,20.94,91.42,5.68,232.73,rice
93.76,37.3,37.91,25.91,76.41,5.8,253.85,rice
90.15,48.72,39.96,29.58,81.83,6.57,292.76,rice
101.15,50.84,40.74,20.82,78.13,6.67,296.64,rice
118.15,45.28,38.05,28.4,94.4,6.5,267.41,rice
89.07,43.68,41.86,29.46,76.42,6.54,221.32,rice
105.92,53.12,36.35,22.32,80.73,6.61,240.94,rice
119.33,53.2,38.6,29.91,85.43,6.11,235.71,rice
89.52,54.63,40.57,29.38,84.47,6.47,192.33,rice
88.66,48.51,43.9,22.13,94.18,6.16,171.96,rice
83.34,37.76,44.06,30.33,75.47,6.57,150.44,rice
108.2,54.93,41.0,32.27,84.21,5.83,295.53,rice
103.22,45.51,35.75,27.62,92.82,6.68,246.04,rice
100.73,42.1,40.73,34.43,93.6,6.29,297.59,rice
110.75,53.36,37.24,27.53,91.35,6.89,287.09,rice
108.17,37.56,41.89,21.53,75.58,6.16,180.42,rice
117.16,47.62,39.24,33.03,86.54,6.57,233.69,rice
82.99,52.91,38.85,25.33,78.86,5.66,204.55,rice
104.35,48.53,35.45,23.04,81.44,5.78,299.32,rice
109.64,38.05,39.47,28.98,91.61,6.27,278.83,rice
90.13,48.61,42.76,25.37,79.3,5.82,170.69,rice
80.34,38.74,39.1,30.12,93.61,5.7,205.26,rice
93.11,54.3,37.85,29.89,91.38,6.27,239.08,rice
119.21,42.71,38.69,22.04,84.23,6.93,286.48,rice
107.99,50.5,39.48,27.0,83.86,6.76,174.76,rice
80.71,44.23,17.36,19.91,70.49,6.46,71.05,maize
77.71,45.89,18.1,24.05,65.91,5.87,110.86,maize
90.56,37.97,20.2,28.04,59.08,6.52,78.85,maize
77.7,36.38,29.43,19.25,64.87,6.45,94.92,maize
67.17,53.19,25.67,21.54,74.38,6.0,97.53,maize
79.06,44.91,29.51,19.08,59.49,6.69,86.44,maize
96.56,45.19,18.55,29.42,56.82,7.26,117.84,maize
98.15,40.45,23.77,25.31,73.7,5.65,75.66,maize
70.66,53.94,29.33,29.62,60.3,6.32,106.53,maize
80.09,49.83,17.68,28.71,70.34,7.09,93.79,maize
95.8,41.78,28.81,28.63,65.31,5.75,61.63,maize
84.87,50.88,15.12,20.36,66.81,7.44,98.45,maize
81.72,50.11,16.85,23.86,68.0,5.98,117.19,maize
63.96,43.59,18.68,24.69,59.23,6.43,107.39,maize
93.1,49.6,15.61,22.1,74.77,5.94,76.07,maize
95.52,38.26,19.38,20.11,73.57,6.08,92.36,maize
92.9,47.08,19.96,26.13,62.52,6.93,115.37,maize
95.28,44.93,27.09,26.23,56.86,5.55,114.0,maize
95.56,45.57,20.83,23.93,64.54,5.75,63.04,maize
86.42,53.17,20.02,24.32,67.12,6.94,79.49,maize
74.21,44.16,29.14,25.24,72.75,5.99,72.44,maize
71.18,52.74,22.05,27.64,74.77,6.23,95.48,maize
74.04,38.55,29.02,25.27,59.69,6.45,88.47,maize
87.6,43.34,21.21,21.03,70.2,6.62,80.36,maize
90.86,38.01,24.06,28.15,70.05,7.26,112.34,maize
99.48,39.37,29.13,29.84,59.44,6.22,61.41,maize
74.73,49.06,29.64,19.89,63.35,7.49,77.72,maize
97.66,48.43,22.01,28.12,62.26,7.42,87.76,maize
78.81,50.6,15.16,25.54,59.5,7.05,85.93,maize
74.37,53.71,23.26,27.58,57.89,6.89,62.79,maize
98.48,52.78,17.96,29.42,63.58,6.24,67.31,maize
79.56,36.81,29.64,26.09,66.54,5.91,63.68,maize
62.66,42.82,17.27,24.35,63.78,7.14,85.1,maize
92.26,37.54,15.18,25.56,55.07,6.39,80.35,maize
89.85,37.54,17.44,23.18,55.96,5.91,73.65,maize
77.31,43.59,24.7,24.69,69.04,7.2,104.45,maize
87.39,51.71,26.03,25.31,63.38,5.76,63.9,maize
67.09,45.96,23.47,28.79,55.79,6.93,64.41,maize
88.02,51.64,25.66,20.28,56.79,5.88,106.69,maize
98.5,36.44,19.49,19.65,65.99,5.54,95.13,maize
28.15,68.63,71.69,20.06,24.66,7.61,47.47,chickpea
24.14,61.92,74.61,24.67,18.92,7.25,50.38,chickpea
26.4,57.36,73.99,18.99,30.66,6.77,41.91,chickpea
32.26,61.96,81.32,20.73,29.23,6.81,54.21,chickpea
15.98,53.01,88.82,23.47,34.57,7.2,52.92,chickpea
19.29,61.69,78.95,22.76,25.06,6.62,57.28,chickpea
17.77,52.63,85.07,19.61,24.82,6.47,49.64,chickpea
28.57,52.12,88.18,18.07,30.92,7.49,52.41,chickpea
31.07,60.98,79.58,20.84,28.94,8.0,34.27,chickpea
23.13,59.66,70.07,17.88,24.99,7.42,50.66,chickpea
33.53,56.48,75.12,15.22,25.68,6.5,39.58,chickpea
30.69,61.99,75.53,17.36,30.16,7.32,37.38,chickpea
21.06,59.42,85.06,18.68,31.43,6.07,58.32,chickpea
27.45,53.18,85.8,25.0,22.79,7.14,47.27,chickpea
15.24,56.21,80.41,23.58,18.67,7.76,59.94,chickpea
20.37,53.09,80.29,16.12,34.45,6.2,52.58,chickpea
31.77,60.04,87.06,22.4,30.9,7.44,52.77,chickpea
29.66,55.8,75.6,18.59,19.69,6.42,41.89,chickpea
19.37,56.97,77.85,15.07,25.34,6.77,41.83,chickpea
29.95,57.54,76.32,24.91,27.73,7.94,40.73,chickpea
20.32,53.06,85.44,16.34,27.14,6.56,58.09,chickpea
25.51,56.82,86.91,20.59,32.02,7.9,46.77,chickpea
34.75,63.17,88.95,23.89,21.83,6.9,32.69,chickpea
19.31,65.49,89.28,16.8,18.02,7.24,31.26,chickpea
34.25,61.12,86.54,15.57,21.52,7.73,34.72,chickpea
15.62,52.08,85.46,17.99,30.47,7.85,30.88,chickpea
