commodity,state,district,market,min_price,max_price,modal_price,date
rice,Punjab,Amritsar,Amritsar Mandi,2196,2579,2388,2026-06-14
rice,Punjab,Amritsar,Amritsar Mandi,2122,2491,2307,2026-06-15
rice,Punjab,Amritsar,Amritsar Mandi,2262,2655,2459,2026-06-16
rice,Punjab,Amritsar,Amritsar Mandi,2139,2511,2325,2026-06-17
rice,Punjab,Amritsar,Amritsar Mandi,2258,2651,2455,2026-06-18
rice,Punjab,Amritsar,Amritsar Mandi,2114,2481,2298,2026-06-19
rice,Punjab,Amritsar,Amritsar Mandi,2192,2573,2383,2026-06-20
rice,Haryana,Karnal,Karnal Mandi,2196,2577,2387,2026-06-14
rice,Haryana,Karnal,Karnal Mandi,2282,2679,2481,2026-06-15
rice,Haryana,Karnal,Karnal Mandi,2259,2652,2456,2026-06-16
rice,Haryana,Karnal,Karnal Mandi,2172,2549,2361,2026-06-17
rice,Haryana,Karnal,Karnal Mandi,2359,2770,2565,2026-06-18
rice,Haryana,Karnal,Karnal Mandi,2199,2582,2391,2026-06-19
rice,Haryana,Karnal,Karnal Mandi,2154,2529,2342,2026-06-20
rice,Uttar Pradesh,Lucknow,Lucknow Main,1934,2271,2103,2026-06-14
rice,Uttar Pradesh,Lucknow,Lucknow Main,2063,2422,2243,2026-06-15
rice,Uttar Pradesh,Lucknow,Lucknow Main,2058,2417,2238,2026-06-16
rice,Uttar Pradesh,Lucknow,Lucknow Main,2083,2446,2265,2026-06-17
rice,Uttar Pradesh,Lucknow,Lucknow Main,2028,2381,2205,2026-06-18
rice,Uttar Pradesh,Lucknow,Lucknow Main,1989,2334,2162,2026-06-19
rice,Uttar Pradesh,Lucknow,Lucknow Main,2043,2398,2221,2026-06-20
wheat,Punjab,Amritsar,Amritsar Mandi,2030,2383,2207,2026-06-14
wheat,Punjab,Amritsar,Amritsar Mandi,2031,2384,2208,2026-06-15
wheat,Punjab,Amritsar,Amritsar Mandi,2076,2437,2257,2026-06-16
wheat,Punjab,Amritsar,Amritsar Mandi,1988,2333,2161,2026-06-17
wheat,Punjab,Amritsar,Amritsar Mandi,2036,2391,2214,2026-06-18
wheat,Punjab,Amritsar,Amritsar Mandi,2167,2544,2356,2026-06-19
wheat,Punjab,Amritsar,Amritsar Mandi,2084,2447,2266,2026-06-20
wheat,Uttar Pradesh,Lucknow,Lucknow Main,1982,2327,2155,2026-06-14
wheat,Uttar Pradesh,Lucknow,Lucknow Main,2060,2419,2240,2026-06-15
wheat,Uttar Pradesh,Lucknow,Lucknow Main,1955,2295,2125,2026-06-16
wheat,Uttar Pradesh,Lucknow,Lucknow Main,2024,2376,2200,2026-06-17
wheat,Uttar Pradesh,Lucknow,Lucknow Main,1966,2307,2137,2026-06-18
wheat,Uttar Pradesh,Lucknow,Lucknow Main,2006,2355,2181,2026-06-19
wheat,Uttar Pradesh,Lucknow,Lucknow Main,1926,2261,2094,2026-06-20
wheat,Madhya Pradesh,Indore,Indore Choithram,2064,2423,2244,2026-06-14
wheat,Madhya Pradesh,Indore,Indore Choithram,2185,2566,2376,2026-06-15
wheat,Madhya Pradesh,Indore,Indore Choithram,2138,2509,2324,2026-06-16
wheat,Madhya Pradesh,Indore,Indore Choithram,2201,2584,2393,2026-06-17
wheat,Madhya Pradesh,Indore,Indore Choithram,2037,2392,2215,2026-06-18
wheat,Madhya Pradesh,Indore,Indore Choithram,2047,2404,2226,2026-06-19
wheat,Madhya Pradesh,Indore,Indore Choithram,2166,2543,2355,2026-06-20
maize,Karnataka,Dharwad,Dharwad Mandi,1800,2113,1957,2026-06-14
maize,Karnataka,Dharwad,Dharwad Mandi,1782,2093,1938,2026-06-15
maize,Karnataka,Dharwad,Dharwad Mandi,1680,1973,1827,2026-06-16
maize,Karnataka,Dharwad,Dharwad Mandi,1777,2086,1932,2026-06-17
maize,Karnataka,Dharwad,Dharwad Mandi,1781,2090,1936,2026-06-18
maize,Karnataka,Dharwad,Dharwad Mandi,1746,2049,1898,2026-06-19
maize,Karnataka,Dharwad,Dharwad Mandi,1790,2101,1946,2026-06-20
maize,Bihar,Patna,Patna Gola,1745,2048,1897,2026-06-14
maize,Bihar,Patna,Patna Gola,1641,1926,1784,2026-06-15
maize,Bihar,Patna,Patna Gola,1782,2093,1938,2026-06-16
maize,Bihar,Patna,Patna Gola,1631,1914,1773,2026-06-17
maize,Bihar,Patna,Patna Gola,1753,2058,1906,2026-06-18
maize,Bihar,Patna,Patna Gola,1707,2004,1856,2026-06-19
maize,Bihar,Patna,Patna Gola,1617,1898,1758,2026-06-20
cotton,Gujarat,Rajkot,Rajkot Yard,6173,7246,6710,2026-06-14
cotton,Gujarat,Rajkot,Rajkot Yard,6146,7215,6681,2026-06-15
